Hole_ID,X,Y,RL_AHD,Depth
RKC463,548258.6,7475785,458.6,53
RKC464,548201.6,7475766.1,458.3,60
RKC465,548142.2,7475769.5,456.5,49
RKC466,548097,7475774.4,456.6,49
RKC467,548050.3,7475778.6,456.7,49
RKC468,547999.2,7475784.4,457.1,49
RKC469,547949.4,7475784.4,457.6,49
RKC470,547902.2,7475784.9,458.2,49
RKC471,547858.4,7475785.5,459.6,52
RKC472,547805.4,7475788.3,461,52
RKC473,547746.4,7475794.4,462.2,54
RKC474,547696.6,7475799.6,463.8,49
RKC475,547649.4,7475801.4,464.9,49
RKC476,547595,7475797.5,465.3,49
RKC477,548248.6,7476006.9,458.2,37
RKC478,548153.6,7475996,460.2,55
RKC479,548050.3,7475998.2,463.3,49
RKC480,547947.6,7476004.1,463.2,55
RKC481,547849.2,7476003.9,463.2,55
RKC482,547748.8,7475997.8,465.5,55
RKC483,547825.6,7473716,452.7,47
RKC484,547866.5,7473820.9,452.4,46
RKC485,547913.3,7473917.2,452.4,46
RKC486,547993,7473995.2,453.5,37
